item_id,PLACES,THINGS TO DO,LOCATION,CITY,TRIP,LAKES,GLACIERS,CULTURAL FOOD
47,MISGAR VALLEY,"CULTURE, ARCHITECTTURE,LANDSCAPE",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
48,DRY PORT,"STAY AND DINE,BONFIRE,SEE NATURE",SOST GOJAL,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
49,HUSSAINABAD TUNNEL,"CAMPING,PICNIC POINT,TRACKING,HIKING,SEE NATURE",SOST GOJAL,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
50,HUNZA WATER,"DRINK HUNZA WATER , WATERFALL",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
51,GANISH,"ARCHITECTTURE,INFRASTRUCTURE ,LANDSCAPE,SHOPPING",GANISH HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
52,KALAM DARCHI FORT,"CULTURE,INFRASTRUCTURE , EVENTS, ",GOJAL SOST HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
53,PATUNDAS MEADOWS,"STAY AND DINE,BONFIRE,CAMPING,PICNIC POINT,TRACKING,HIKING,SEE NATURE",GULKIN HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
54,KKH,"STAY AND DINE,BONFIRE",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
55,ONDRA FORT,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",GULMIT HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
56,KHUNJERAB NATIONAL PARK,"STAY AND DINE,HIKING,SEE NATURE",KHUNJERAB SOST GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
